symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,sharpe_ann,q05,q50,q95,hit_rate
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2023,conditional,54,0.0011987043844004014,0.0075047812903650995,0.15972542543502766,2.535562522530444,-0.012157900870682668,0.0005454040773253954,0.013479343440773098,0.5740740740740741
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2024,conditional,61,0.0008447465015787303,0.008974655619345658,0.09412578458807991,1.494200507873374,-0.013803088803088781,0.0008153668202588449,0.01119964339443924,0.5901639344262295
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2025,conditional,62,0.0006986079112708382,0.019600655136633185,0.0356420694308914,0.5658003115550165,-0.01773961326697233,0.0019198420433973462,0.015591265368052753,0.5967741935483871
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2026,unconditional,5,0.003179153796776091,0.004564236268374866,0.6965357641111017,11.057162466601943,-0.0025990449313175513,0.005947187808991838,0.00665078123862739,0.6
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,2026,conditional,0,,,,,,,,
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2020,conditional,0,,,,,,,,
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2021,conditional,44,0.002111170692783321,0.011826661565575042,0.1785094365876251,2.8337494553346634,-0.01993529620569298,0.00232344990902289,0.016451979635039506,0.6590909090909091
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2022,conditional,31,-0.0038355270878751174,0.012214856400551841,-0.3140050903669925,-4.984676277116554,-0.02511395838069347,-0.0024192572880126217,0.011110435816533704,0.3870967741935484
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2023,conditional,23,0.000671203921111959,0.00896557805093212,0.07486454496285115,1.1884378079263047,-0.015348174509723245,0.000399173476096637,0.014080292983605906,0.5652173913043478
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2024,conditional,35,0.00028498516915457714,0.009619208858146218,0.02962667443416948,0.47030887636012614,-0.015498206556633675,0.002057991253537228,0.01119726069913718,0.6
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2025,conditional,34,0.0008823808006391885,0.024113060716931794,0.03659347981567496,0.580903483192426,-0.026724626143100644,0.0010627945241745707,0.016388573468808416,0.5
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2026,unconditional,5,0.003179153796776091,0.004564236268374866,0.6965357641111017,11.057162466601943,-0.0025990449313175513,0.005947187808991838,0.00665078123862739,0.6
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,2026,conditional,0,,,,,,,,
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2020,conditional,1,0.005080781741444662,,,,0.005080781741444662,0.005080781741444662,0.005080781741444662,1.0
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2021,conditional,95,0.0004801139813075862,0.006509590825716431,0.07375486327203153,1.1708221571962023,-0.009867580247089712,0.0012439780155157898,0.010155660414836976,0.5894736842105263
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2022,conditional,73,-0.0008392298138131569,0.015735829870314418,-0.05333241530504602,-0.8466258462934004,-0.023616140560013887,-0.003059805285118178,0.024830863587248973,0.4383561643835616
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2023,conditional,75,0.0005075673948338692,0.009321399996283557,0.05445184146547046,0.8643961856828983,-0.015466496690941179,0.0007323827615406397,0.014478813657249368,0.5733333333333334
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,2024,conditional,75,0.0006270802540674892,0.006496583240656669,0.09652462391971205,1.5322809017135681,-0.01015384809049107,0.000972482351246251,0.010153897381679397,0.6
