symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,q05,q50,q95,hit_rate
SPY,1d,1,close_below_sma:50,close<sma50,2023-12-13→2024-12-12,conditional,31,0.002965095265179536,0.011426973954702886,0.2594821058430103,-0.01722985761249146,0.004355703592540339,0.01679296640614003,0.6129032258064516
SPY,1d,1,close_below_sma:50,close<sma50,2024-03-15→2025-03-18,unconditional,252,0.000459469834283942,0.008574243980975525,0.05358721250566354,-0.015525662118189525,0.0011106399623194152,0.011978125766872969,0.5873015873015873
SPY,1d,1,close_below_sma:50,close<sma50,2024-03-15→2025-03-18,conditional,62,0.0013501353034911941,0.011600636645796414,0.11638458687355119,-0.01773961326697233,0.0023525815160936325,0.01710550353716583,0.5806451612903226
SPY,1d,1,close_below_sma:50,close<sma50,2024-06-14→2025-06-17,unconditional,252,0.00046250903919121315,0.012869630225271303,0.03593802083629509,-0.018141444902111153,0.0012009986830853192,0.016724153353827,0.5793650793650794
SPY,1d,1,close_below_sma:50,close<sma50,2024-06-14→2025-06-17,conditional,77,0.00071869325262136,0.01994761288473797,0.03602903549282512,-0.027133247666771186,0.0015504143051559005,0.02073438842954496,0.5974025974025974
SPY,1d,1,close_below_sma:50,close<sma50,2024-09-16→2025-09-17,unconditional,252,0.000719649361636917,0.012254493894961872,0.05872534335610406,-0.01659754412998838,0.0009270831782050015,0.01541920064978831,0.5674603174603174
SPY,1d,1,close_below_sma:50,close<sma50,2024-09-16→2025-09-17,conditional,61,-0.00020167030896765554,0.021275587860145686,-0.009478953544942123,-0.026635643839421963,0.0013760126593165278,0.020655761488520552,0.5573770491803278
SPY,1d,1,close_below_sma:50,close<sma50,2024-12-13→2025-12-16,unconditional,252,0.0004945570375851457,0.012422277470048045,0.039812106819993046,-0.01670955623089166,0.0011229131964287653,0.015349801395143914,0.5634920634920635
SPY,1d,1,close_below_sma:50,close<sma50,2024-12-13→2025-12-16,conditional,67,2.995747795750693e-05,0.020554275384687137,0.0014574815894422212,-0.025785772480494417,0.0014267777650953661,0.019916014439789752,0.5671641791044776
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2020-12-10→2021-12-09,unconditional,252,0.0010232679893676826,0.008008832821213833,0.12776743031234783,-0.013057426836882047,0.001459515639184561,0.014202023983987865,0.5873015873015873
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2020-12-10→2021-12-09,conditional,149,0.0005817004302227319,0.0063946175261523795,0.09096719668435575,-0.009049737555998161,0.0013260046624035127,0.01022843247839873,0.5906040268456376
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2021-03-15→2022-03-11,unconditional,252,0.00024278568217144168,0.009158399834220062,0.026509618117379074,-0.01715835673127239,0.0006898804668861169,0.015169388885885867,0.5357142857142857
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2021-03-15→2022-03-11,conditional,159,0.00032810178941909115,0.0064334178864177,0.05099960786190854,-0.010006653671632592,0.0009000109757435482,0.01002763097849124,0.5660377358490566
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2021-06-14→2022-06-10,unconditional,252,-0.00042620455476596343,0.012061904663595701,-0.035334764007238485,-0.020696127756523935,0.0005347701427730334,0.018860077198131518,0.5238095238095238
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2021-06-14→2022-06-10,conditional,121,-7.157361720428784e-05,0.00711543509628673,-0.010058923486160297,-0.01410654946939649,0.0012439780155157898,0.009998704271584558,0.5619834710743802
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2021-09-13→2022-09-12,unconditional,252,-0.0004125145222287246,0.013675609095432405,-0.03016425223550026,-0.023630036341451062,-0.0003136907589413318,0.021447889603717428,0.49206349206349204
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2021-09-13→2022-09-12,conditional,89,-0.0006976868818251099,0.010490306405598487,-0.0665077696350954,-0.01835822603402737,0.0009000109757435482,0.014408118803112565,0.5393258426966292
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),2021-12-10→2022-12-09,unconditional,252,-0.0005414164817414012,0.0151917331158237,-0.035638888441073394,-0.02615054673813856,-0.0017094018623388108,0.02498755082178999,0.43253968253968256
